Марка;Ссилка;Ціна в долларах;Ціна в гривнях;Місто
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1829119.html;   11 723 $   ;318 800 грн;Дніпро (Дніпропетровськ) 
Renault Dokker пасс. 2021Expression 1.6 МТ (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1829021.html;   15 827 $   ;430 400 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Life 1.5 D EDC (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853362.html;   19 953 $   ;542 600 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Intense 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1853339.html;   21 266 $   ;578 300 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2020Ultramarine 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838283.html;   14 294 $   ;388 700 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Zen 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1853337.html;   20 174 $   ;548 600 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1853440.html;   12 190 $   ;331 500 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2020Life 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1829033.html;   19 251 $   ;523 500 грн;Дніпро (Дніпропетровськ) 
Renault Dokker пасс. 2021Expression 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1853432.html;   19 336 $   ;525 800 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Ultramarine 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853347.html;   20 641 $   ;561 300 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2020Ultramarine 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838284.html;   14 412 $   ;391 900 грн;Дніпро (Дніпропетровськ) 
Renault Dokker пасс. 2021Expression 1.6 МТ (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1829023.html;   17 298 $   ;470 400 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Base 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853320.html;   15 412 $   ;419 100 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1853389.html;   15 298 $   ;416 000 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Life 1.6 MT (115 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-duster-1856402.html;   16 728 $   ;454 900 грн;Дніпро (Дніпропетровськ) 
Renault Megane 2020Intense New 1.5D AТ (110 к.с);https://auto.ria.com/newauto/auto-renault-megane-1829008.html;   23 748 $   ;645 800 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2021Zen 0.9TCe 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1853383.html;   13 595 $   ;369 700 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Zen 1.5 D EDC (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853363.html;   20 957 $   ;569 900 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2020Zen 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1837586.html;   15 283 $   ;415 600 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Ultramarine 1.6 MT (115 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-duster-1855929.html;   19 472 $   ;529 500 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2020Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1828970.html;   11 385 $   ;309 600 грн;Дніпро (Дніпропетровськ) 
Renault Megane 2020Intense New 1.2 AT (130 к.с);https://auto.ria.com/newauto/auto-renault-megane-1829202.html;   21 854 $   ;594 300 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2021Life+ 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1853386.html;   14 073 $   ;382 700 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2021Life+ 0.9TCe 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1853380.html;   14 103 $   ;383 500 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2020Ultramarine 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838280.html;   15 397 $   ;418 700 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Life 1.5 D EDC (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853370.html;   21 424 $   ;582 600 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1853441.html;   11 087 $   ;301 500 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Zen 1.5 D EDC (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853353.html;   22 428 $   ;609 900 грн;Дніпро (Дніпропетровськ) 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1829000.html;   17 729 $   ;482 100 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2021Zen New 0.9 MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1853445.html;   13 334 $   ;362 600 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2021Life+ New 0.9 AT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1853450.html;   12 694 $   ;345 200 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Zen 1.6 MT (115 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-duster-1855931.html;   17 383 $   ;472 700 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Zen 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853327.html;   16 327 $   ;444 000 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Ultramarine 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1853338.html;   20 792 $   ;565 400 грн;Дніпро (Дніпропетровськ) 
Renault Megane 2020Zen New 1.5D AТ (110 к.с);https://auto.ria.com/newauto/auto-renault-megane-1829198.html;   20 310 $   ;552 300 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1837595.html;   14 294 $   ;388 700 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Intense 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1853344.html;   19 795 $   ;538 300 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Life 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853345.html;   19 876 $   ;540 500 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2021Life+ 0.9TCe 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1853421.html;   12 709 $   ;345 600 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Zen 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1853341.html;   18 703 $   ;508 600 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2020Life+ 1.5DCi 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1857301.html;   12 367 $   ;336 300 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2020Double Cab 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1847429.html;   42 657 $   ;1 160 000 грн;Харків 
Renault Arkana 2021Zen 1.6 MT (114 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1853297.html;   20 626 $   ;560 900 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Life 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847430.html;   19 060 $   ;518 300 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1847442.html;   25 995 $   ;706 900 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Life 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853294.html;   18 655 $   ;507 300 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Life 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853288.html;   19 016 $   ;517 100 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847438.html;   25 712 $   ;699 200 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847441.html;   23 873 $   ;649 200 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Life 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853292.html;   20 494 $   ;557 300 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847440.html;   21 891 $   ;595 300 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Zen 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853289.html;   20 001 $   ;543 900 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Zen 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847436.html;   21 983 $   ;597 800 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853304.html;   23 954 $   ;651 400 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1853310.html;   26 418 $   ;718 400 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853301.html;   25 793 $   ;701 400 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Zen 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847439.html;   20 145 $   ;547 800 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847433.html;   18 137 $   ;493 200 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1847443.html;   27 977 $   ;760 800 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853295.html;   19 641 $   ;534 100 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Zen 1.6 MT (114 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1853296.html;   22 465 $   ;610 900 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853293.html;   21 479 $   ;584 100 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1847445.html;   26 139 $   ;710 800 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847437.html;   23 730 $   ;645 300 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1847444.html;   24 157 $   ;656 900 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Life 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853290.html;   17 177 $   ;467 100 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Zen 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1853291.html;   18 162 $   ;493 900 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2021Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1853307.html;   28 257 $   ;768 400 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847431.html;   19 975 $   ;543 200 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021PFG 1L324 H6 2.3D MT (125 к.с) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1852954.html;   32 839 $   ;893 000 грн;Луцьк 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1858402.html;   17 725 $   ;482 000 грн;Луцьк 
Renault Lodgy 2021Intense 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1862351.html;   21 174 $   ;575 799 грн;Київ 
Renault Sandero 2021Life+ 1.5DCi 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1856612.html;   14 046 $   ;381 966 грн;Київ 
Renault Dokker груз. 2020Authentique 1.5D MT (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1858275.html;   17 284 $   ;470 000 грн;Луцьк 
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861036.html;   27 666 $   ;752 332 грн;Київ 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1853938.html;   17 729 $   ;482 100 грн;Київ 
Renault Sandero StepWay 2021Zen 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1860125.html;   16 608 $   ;451 631 грн;Київ 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1847051.html;   27 209 $   ;739 898 грн;Київ 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1858434.html;   17 679 $   ;480 765 грн;Луцьк 
Renault Logan 2021Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1858802.html;   13 941 $   ;379 100 грн;Київ 
Renault Master груз. 20212.3D MT (125 к.с) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1862835.html;   30 849 $   ;838 900 грн;Луцьк 
Renault Sandero StepWay 20200.9TCe 5РКП (90 к.с) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1858683.html;   15 570 $   ;423 399 грн;Луцьк 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1856171.html;   12 981 $   ;353 000 грн;Запоріжжя 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1858384.html;   12 577 $   ;342 000 грн;Запоріжжя 
Renault Logan 2020Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1856662.html;   14 342 $   ;390 000 грн;Луцьк 
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1860629.html;   27 580 $   ;750 000 грн;Луцьк 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1826123.html;   16 695 $   ;454 000 грн;Запоріжжя 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1844909.html;   15 221 $   ;413 900 грн;Запоріжжя 
Renault Kadjar 2020Life 1.2 TCe 6MT (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1859441.html;   19 968 $   ;543 000 грн;Луцьк 
Renault Duster 2021Life 1.5 D MT (110 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1859491.html;   22 252 $   ;605 100 грн;Луцьк 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1857613.html;   15 324 $   ;416 700 грн;Запоріжжя 
Renault Duster 2021Ultramarine 1.5 D MT (110 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1860713.html;   23 351 $   ;635 000 грн;Луцьк 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1860780.html;   17 136 $   ;466 000 грн;Луцьк 
Renault Logan 2021Life+ New 0.9 MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861967.html;   12 749 $   ;346 700 грн;Київ 
Renault Lodgy 2021Zen 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1859598.html;   19 913 $   ;541 500 грн;Київ 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862838.html;   16 726 $   ;454 831 грн;Київ 
Renault Kadjar 2021Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1860887.html;   29 673 $   ;806 900 грн;Київ 
Renault Arkana 2021Life 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1857331.html;   19 269 $   ;524 000 грн;Запоріжжя 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1858836.html;   17 144 $   ;466 200 грн;Київ 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1857476.html;   23 351 $   ;635 000 грн;Київ 
Renault Trafic пасс. 2021Individual 1.6D MT (140 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1862305.html;   36 495 $   ;992 427 грн;Київ 
Renault Dokker груз. 2021Authentique 1.6 MT (80 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1860766.html;   14 863 $   ;404 165 грн;Київ 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1858216.html;   12 025 $   ;327 000 грн;Київ 
Renault Sandero 2021Life+ 0.9TCe 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1859775.html;   12 709 $   ;345 600 грн;Київ 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1859492.html;   16 726 $   ;454 831 грн;Київ 
Renault Sandero 2021Life+ 1.5DCi 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1856565.html;   13 904 $   ;378 100 грн;Київ 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1859630.html;   11 749 $   ;319 500 грн;Запоріжжя 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1857614.html;   15 691 $   ;426 700 грн;Запоріжжя 
Renault Logan 2021Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1859767.html;   14 440 $   ;392 665 грн;Запоріжжя 
Renault Duster 2021Zen 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1818404.html;   18 975 $   ;516 000 грн;Запоріжжя 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1859631.html;   12 248 $   ;333 065 грн;Запоріжжя 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1862044.html;   12 577 $   ;342 000 грн;Запоріжжя 
Renault Logan 2021Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1857342.html;   14 440 $   ;392 665 грн;Запоріжжя 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1862042.html;   12 540 $   ;341 000 грн;Запоріжжя 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1840463.html;   11 749 $   ;319 500 грн;Запоріжжя 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1857615.html;   16 725 $   ;454 800 грн;Запоріжжя 
Renault Sandero StepWay 2021Zen 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1837056.html;   16 608 $   ;451 631 грн;Запоріжжя 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1813420.html;   17 798 $   ;484 000 грн;Запоріжжя 
Renault Logan 2021Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1831954.html;   13 941 $   ;379 100 грн;Запоріжжя 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1857337.html;   15 324 $   ;416 700 грн;Запоріжжя 
Renault Express 2021Intense 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-1862028.html;   18 681 $   ;508 000 грн;Київ 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862027.html;   15 298 $   ;416 000 грн;Київ 
Renault Lodgy 2021Zen 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1861448.html;   20 317 $   ;552 499 грн;Київ 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1857336.html;   16 358 $   ;444 832 грн;Запоріжжя 
Renault Sandero StepWay 2021Life+ 0.9TCe 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1860714.html;   14 673 $   ;399 000 грн;Луцьк 
Renault Kadjar 2021Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1840765.html;   29 823 $   ;811 000 грн;Запоріжжя 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838252.html;   15 691 $   ;426 699 грн;Запоріжжя 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1859770.html;   15 223 $   ;413 965 грн;Запоріжжя 
Renault Master груз. 2021TFG 1 223 D6 2.3D MT (125 к.с) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1859056.html;   31 892 $   ;867 264 грн;Київ 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1844906.html;   15 223 $   ;413 965 грн;Запоріжжя 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1860151.html;   16 695 $   ;454 000 грн;Запоріжжя 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1862048.html;   25 815 $   ;702 000 грн;Запоріжжя 
Renault Express 2021Life 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-1861101.html;   16 710 $   ;454 400 грн;Київ 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838255.html;   15 691 $   ;426 699 грн;Запоріжжя 
Renault Dokker пасс. 2021Expression 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1860529.html;   19 306 $   ;525 000 грн;Київ 
Renault Master груз. 2021TFG 1 333 D6 2.3D MT (125 к.с) L3H3 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1859734.html;   33 390 $   ;908 000 грн;Запоріжжя 
